bookID,title,authors,Available
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,True
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,True
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,True
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,True
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,True
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,True
10,Anastasia te riega la mandanga,La terfa,True
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,True
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,True
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,True
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,True
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,True
21,A Short History of Nearly Everything,Bill Bryson,True
22,Bill Bryson's African Diary,Bill Bryson,True
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,True
24,In a Sunburned Country,Bill Bryson,True
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,True
26,The Lost Continent: Travels in Small Town America,Bill Bryson,True
27,Neither Here nor There: Travels in Europe,Bill Bryson,True
28,Notes from a Small Island,Bill Bryson,True
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,True
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,True
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,True
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,True
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,True
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,True
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,True
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,True
50,Hatchet (Brian's Saga  #1),Gary Paulsen,True
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,True
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,True
54,Molly Hatchet - 5 of the Best,Molly Hatchet,True
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,True
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,True
58,Changeling (Changeling  #1),Delia Sherman,True
59,The Changeling Sea,Patricia A. McKillip,True
61,The Changeling,Zilpha Keatley Snyder,True
63,The Changeling,Kate Horsley,True
66,The Changeling (Daughters of England  #15),Philippa Carr,True
67,The Known World,Edward P. Jones,True
68,The Known World,Edward P. Jones/Kevin R. Free,True
69,The Known World,Edward P. Jones,True
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,True
72,Artesia: Adventures in the Known World,Mark Smylie,True
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,True
75,Uncommon Carriers,John McPhee,True
76,Heirs of General Practice,John McPhee,True
77,The Control of Nature,John McPhee,True
78,Annals of the Former World,John McPhee,True
79,Coming Into the Country,John McPhee,True
80,La Place de la Concorde Suisse,John McPhee,True
81,Giving Good Weight,John McPhee,True
83,Rising from the Plains,John McPhee,True
85,The Heidi Chronicles,Wendy Wasserstein,True
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,True
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,True
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,True
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,True
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,True
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,True
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,True
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,True
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,True
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,True
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,True
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,True
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,True
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,True
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,True
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,True
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,True
